# time	AE	std
1980-11-26 00:00	242.958333	165.072969
1980-11-27 00:00	253.125000	188.801555
1980-11-28 00:00	462.041667	156.019920
1980-11-29 00:00	275.791667	141.654810
1980-11-30 00:00	221.375000	149.960230
1980-12-01 00:00	358.291667	221.728875
1980-12-02 00:00	65.708333	77.369514
1980-12-03 00:00	187.208333	164.461699
1980-12-04 00:00	196.333333	144.434630
1980-12-05 00:00	53.208333	16.942304
1980-12-06 00:00	51.458333	28.722025
1980-12-07 00:00	43.958333	25.226761
1980-12-08 00:00	71.750000	41.661420
1980-12-09 00:00	87.083333	69.095345
1980-12-10 00:00	173.500000	104.408479
1980-12-11 00:00	79.750000	40.916936
1980-12-12 00:00	281.166667	164.833952
1980-12-13 00:00	74.083333	78.900001
1980-12-14 00:00	54.000000	53.979867
1980-12-15 00:00	234.083333	127.241953
1980-12-16 00:00	181.208333	119.705791
1980-12-17 00:00	177.166667	223.010951
1980-12-18 00:00	186.000000	165.676216
1980-12-19 00:00	318.125000	192.667840
1980-12-20 00:00	443.750000	260.295025
1980-12-21 00:00	183.166667	100.252580
1980-12-22 00:00	240.041667	122.929276
1980-12-23 00:00	96.250000	62.793831
1980-12-24 00:00	58.083333	55.031151
1980-12-25 00:00	40.250000	24.719733
1980-12-26 00:00	124.041667	84.356634
1980-12-27 00:00	128.166667	158.767445
1980-12-28 00:00	93.916667	102.250722
1980-12-29 00:00	77.958333	57.414192
1980-12-30 00:00	279.333333	156.710108
1980-12-31 00:00	110.250000	107.929224
1981-01-01 00:00	253.958333	199.421005
1981-01-02 00:00	157.916667	173.189747
1981-01-03 00:00	205.791667	157.331270
1981-01-04 00:00	149.750000	111.106001
1981-01-05 00:00	106.791667	91.864730
1981-01-06 00:00	128.791667	117.429712
1981-01-07 00:00	147.750000	101.876417
1981-01-08 00:00	109.583333	55.237760
1981-01-09 00:00	146.708333	146.600160
1981-01-10 00:00	67.333333	56.909285
1981-01-11 00:00	245.958333	137.844108
1981-01-12 00:00	270.083333	197.692321
1981-01-13 00:00	79.416667	52.772619
1981-01-14 00:00	185.583333	95.721024
